Date,Test machine,Test Compiler,Pointer size,Build type,Key count,Find count,Found count,Test type,Time#0,Time#1,Time#2,Time#3,Time#4,avg,median,sum
2017-03-13,,MSVC_2015_u3,4,release,49936,250000,621,"MapVectorAoS<int,int>, sorted: 1",0.03186,0.03219,0.03304,0.03185,0.03252,0.032292,0.03219,0.16146
2017-03-13,,MSVC_2015_u3,4,release,49936,250000,621,"MapVectorAoS<int,int>, sorted: 1",0.03339,0.03294,0.0329,0.03261,0.03351,0.03307,0.03294,0.16535
2017-03-13,,MSVC_2015_u3,4,release,49936,250000,621,"MapVectorAoS<int,int>, sorted: 0",4.282,4.295,4.286,4.304,4.282,4.2898,4.286,21.449
2017-03-13,,MSVC_2015_u3,4,release,49936,250000,621,"MapVectorAoS<int,int>, sorted: 0",4.309,4.356,4.304,4.294,4.288,4.3102,4.304,21.551
2017-03-13,,MSVC_2015_u3,4,release,49936,250000,621,"MapVectorSoA<int,int>, sorted: 1",0.03273,0.03269,0.03264,0.03215,0.03268,0.032578,0.03268,0.16289
2017-03-13,,MSVC_2015_u3,4,release,49936,250000,621,"MapVectorSoA<int,int>, sorted: 1",0.03153,0.03077,0.03152,0.03094,0.03179,0.03131,0.03152,0.15655
2017-03-13,,MSVC_2015_u3,4,release,49936,250000,621,"MapVectorSoA<int,int>, sorted: 0",3.839,4.091,3.815,3.807,3.844,3.8792,3.839,19.396
2017-03-13,,MSVC_2015_u3,4,release,49936,250000,621,"MapVectorSoA<int,int>, sorted: 0",3.832,3.882,3.808,3.818,3.903,3.8486,3.832,19.243
2017-03-13,,MSVC_2015_u3,4,release,49936,250000,621,"std::map<int,int>",0.04748,0.04851,0.04811,0.04919,0.05711,0.05008,0.04851,0.2504
2017-03-13,,MSVC_2015_u3,4,release,49936,250000,621,"std::unordered_map<int,int>",0.01588,0.01281,0.01264,0.01295,0.01892,0.01464,0.01295,0.0732
2017-03-13,,MSVC_2015_u3,4,release,49936,250000,621,"boost::flat_map<int,int>",0.03131,0.03097,0.03074,0.03025,0.03382,0.031418,0.03097,0.15709
