Run time;Map type;Insert duration;Random element;Delete duration;Total duration;Peak memory usage;Compiler;C++ standard version;Build type
2024-03-30;std::map<int,int>;1.06046;1915194;0.245381;1.30591;487.9 MB;MSVC_2022.9;C++20 (202002L);release
2024-03-30;std::map<int,int>;1.06801;1915194;0.258573;1.32665;487.9 MB;MSVC_2022.9;C++20 (202002L);release
2024-03-30;std::map<int,int>;1.05615;1915194;0.24853;1.30475;487.9 MB;MSVC_2022.9;C++20 (202002L);release
2024-03-30;std::map<int,int>;1.05288;1915194;0.237633;1.29058;487.8 MB;MSVC_2022.9;C++20 (202002L);release
2024-03-30;std::map<int,int>;1.06358;1915194;0.246528;1.3102;487.9 MB;MSVC_2022.9;C++20 (202002L);release
2024-03-30;std::unordered_map<int, int>;0.889258;1915194;0.244326;1.13364;595.8 MB;MSVC_2022.9;C++20 (202002L);release
2024-03-30;std::unordered_map<int, int>;0.896935;1915194;0.246979;1.14398;595.8 MB;MSVC_2022.9;C++20 (202002L);release
2024-03-30;std::unordered_map<int, int>;0.903562;1915194;0.250103;1.15372;595.8 MB;MSVC_2022.9;C++20 (202002L);release
2024-03-30;std::unordered_map<int, int>;0.892827;1915194;0.247189;1.14007;595.8 MB;MSVC_2022.9;C++20 (202002L);release
2024-03-30;std::unordered_map<int, int>;0.92288;1915194;0.250708;1.17368;595.8 MB;MSVC_2022.9;C++20 (202002L);release
2024-03-30;boost::flat_map<int, int>;0.156044;1915194;0.0037631;0.159901;85.11 MB;MSVC_2022.9;C++20 (202002L);release
2024-03-30;boost::flat_map<int, int>;0.150301;1915194;0.0031674;0.153532;85.12 MB;MSVC_2022.9;C++20 (202002L);release
2024-03-30;boost::flat_map<int, int>;0.142739;1915194;0.0026578;0.14545;85.13 MB;MSVC_2022.9;C++20 (202002L);release
2024-03-30;boost::flat_map<int, int>;0.15663;1915194;0.0027975;0.159492;85.11 MB;MSVC_2022.9;C++20 (202002L);release
2024-03-30;boost::flat_map<int, int>;0.143874;1915194;0.00264;0.146569;85.11 MB;MSVC_2022.9;C++20 (202002L);release
2024-03-30;MapVectorSoA<int, int>;0.18425;1915194;0.0029863;0.187294;85.11 MB;MSVC_2022.9;C++20 (202002L);release
2024-03-30;MapVectorSoA<int, int>;0.181854;1915194;0.0026674;0.184572;85.12 MB;MSVC_2022.9;C++20 (202002L);release
2024-03-30;MapVectorSoA<int, int>;0.177141;1915194;0.0024801;0.179672;85.11 MB;MSVC_2022.9;C++20 (202002L);release
2024-03-30;MapVectorSoA<int, int>;0.17896;1915194;0.0038536;0.182869;85.11 MB;MSVC_2022.9;C++20 (202002L);release
2024-03-30;MapVectorSoA<int, int>;0.18462;1915194;0.0029104;0.187619;85.11 MB;MSVC_2022.9;C++20 (202002L);release
2024-03-30;MapVectorAoS<int, int>;0.213684;1915194;0.0026332;0.21637;85.11 MB;MSVC_2022.9;C++20 (202002L);release
2024-03-30;MapVectorAoS<int, int>;0.213563;1915194;0.0030465;0.216687;85.11 MB;MSVC_2022.9;C++20 (202002L);release
2024-03-30;MapVectorAoS<int, int>;0.227686;1915194;0.0030323;0.230779;85.11 MB;MSVC_2022.9;C++20 (202002L);release
2024-03-30;MapVectorAoS<int, int>;0.221664;1915194;0.0027232;0.224443;85.12 MB;MSVC_2022.9;C++20 (202002L);release
2024-03-30;MapVectorAoS<int, int>;0.221394;1915194;0.0030377;0.224489;85.12 MB;MSVC_2022.9;C++20 (202002L);release
2024-04-09;std::unordered_map<int, int>;0.934452;1915194;0.264421;1.19894;595.8 MB;MSVC_2022.9;C++20 (202002L);release
2024-04-09;std::unordered_map<int, int>;0.98936;1915194;0.25602;1.24546;595.8 MB;MSVC_2022.9;C++20 (202002L);release
2024-04-09;std::unordered_map<int, int>;0.940735;1915194;0.247179;1.18798;595.8 MB;MSVC_2022.9;C++20 (202002L);release
2024-04-09;std::unordered_map<int, int>;0.96734;1915194;0.252433;1.21983;595.8 MB;MSVC_2022.9;C++20 (202002L);release
2024-04-09;std::unordered_map<int, int>;0.960868;1915194;0.286564;1.24749;595.8 MB;MSVC_2022.9;C++20 (202002L);release
2024-04-09;std::unordered_map<int, int> (not reserved);2.16096;1915194;0.622107;2.78313;595.8 MB;MSVC_2022.9;C++20 (202002L);release
2024-04-09;std::unordered_map<int, int> (not reserved);2.14789;1915194;0.622234;2.77018;595.8 MB;MSVC_2022.9;C++20 (202002L);release
2024-04-09;std::unordered_map<int, int> (not reserved);2.14205;1915194;0.62002;2.76213;595.8 MB;MSVC_2022.9;C++20 (202002L);release
2024-04-09;std::unordered_map<int, int> (not reserved);2.16457;1915194;0.627598;2.79223;595.8 MB;MSVC_2022.9;C++20 (202002L);release
2024-04-09;std::unordered_map<int, int> (not reserved);2.16271;1915194;0.626633;2.7894;595.8 MB;MSVC_2022.9;C++20 (202002L);release
