Run time;Map type;Insert duration;Random element;Delete duration;Total duration;Peak memory working set;Peak virtual memory usage;Compiler;C++ standard version;Build type;Standard library;Boost version
2024-04-20;std::map<int,int>;2.83875;1915194;0.103698;2.94252;;486.1 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
2024-04-20;std::map<int,int>;2.73189;486191;0.0953631;2.8273;;485.1 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
2024-04-20;std::unordered_map<int, int>;0.19023;1915194;0.0531784;0.243458;;409.1 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
2024-04-20;std::unordered_map<int, int>;0.204172;486191;0.0490151;0.253233;;405.1 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
2024-04-20;std::unordered_map<int, int> (not reserved);0.266762;1915194;0.0575694;0.324385;;423.1 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
2024-04-20;std::unordered_map<int, int> (not reserved);0.254283;486191;0.0550926;0.309415;;430.4 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
2024-04-20;boost::flat_map<int, int>;0.236926;1915194;0.000103418;0.23708;;86.21 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
2024-04-20;boost::flat_map<int, int>;0.298862;486191;0.0001505;0.299051;;85.22 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
2024-04-20;MapVectorSoA<int, int>;0.179181;1915194;0.000195271;0.179423;;86.21 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
2024-04-20;MapVectorSoA<int, int>;0.33732;486191;0.000149022;0.337505;;85.22 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
2024-04-20;MapVectorAoS<int, int>;0.157253;1915194;0.000156599;0.157461;;86.21 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
2024-04-20;MapVectorAoS<int, int>;0.280542;486191;0.000154448;0.280734;;85.22 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
2024-04-20;std::map<int,int>;2.77895;1915194;0.0938216;2.87283;;486.1 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
2024-04-20;std::map<int,int>;2.65294;486191;0.0891337;2.74212;;485.1 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
2024-04-20;std::unordered_map<int, int>;0.193612;1915194;0.0631067;0.256768;;409.1 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
2024-04-20;std::unordered_map<int, int>;0.200295;486191;0.0514283;0.251773;;405.1 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
2024-04-20;std::unordered_map<int, int> (not reserved);0.257522;1915194;0.0622444;0.319821;;423.1 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
2024-04-20;std::unordered_map<int, int> (not reserved);0.252001;486191;0.0481134;0.300161;;430.4 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
2024-04-20;boost::flat_map<int, int>;0.24286;1915194;0.000172427;0.243088;;86.21 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
2024-04-20;boost::flat_map<int, int>;0.292169;486191;0.000168949;0.292378;;85.22 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
2024-04-20;MapVectorSoA<int, int>;0.178596;1915194;0.000285135;0.178935;;86.21 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
2024-04-20;MapVectorSoA<int, int>;0.332634;486191;0.000255662;0.332957;;85.22 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
2024-04-20;MapVectorAoS<int, int>;0.168788;1915194;0.000178973;0.169019;;86.21 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
2024-04-20;MapVectorAoS<int, int>;0.27315;486191;0.000184294;0.27338;;85.22 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
2024-04-20;std::map<int,int>;2.79758;1915194;0.118023;2.91567;;486.1 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
2024-04-20;std::map<int,int>;2.69298;486191;0.110193;2.80322;;485.1 MB;Clang_14.0.0;C++20 (202002L);release;libc++ ver 14000;1_74
2024-04-20;std::unordered_map<int, int>;0.197707;1915194;0.0573057;0.255076;;409.1 MB;GCC_11.3.0;C++20 (202002L);release;libstdc++ ver 11;1_74
