Date,Test machine,Test Compiler,Pointer size,Build type,Insert count,Test type,Time#0,Time#1,Time#2,Time#3,Time#4,avg,median,sum
2016-12-29,,MinGW_4.8.0,4,release,50000,std::vector<int>,0.193,0.197,0.224,0.194,0.199,0.2014,0.197,1.007
2016-12-29,,MinGW_4.8.0,4,release,50000,boost::vector<int>,0.196,0.22,0.215,0.207,0.196,0.2068,0.207,1.034
2016-12-29,,MinGW_4.8.0,4,release,50000,Vector<int>,0.199,0.196,0.198,0.195,0.193,0.1962,0.196,0.981
2016-12-29,,MinGW_4.8.0,4,release,50000,std::vector<double>,0.392,0.394,0.444,0.394,0.39,0.4028,0.394,2.014
2016-12-29,,MinGW_4.8.0,4,release,50000,boost::vector<double>,0.395,0.406,0.394,0.392,0.391,0.3956,0.394,1.978
2016-12-29,,MinGW_4.8.0,4,release,50000,Vector<double>,0.419,0.392,0.438,0.401,0.392,0.4084,0.401,2.042
2016-12-29,,MinGW_4.8.0,4,release,50000,"std::vector<std::pair<int, int>>",0.427,0.425,0.426,0.42,0.431,0.4258,0.426,2.129
2016-12-29,,MinGW_4.8.0,4,release,50000,"boost::vector<std::pair<int, int>>",0.406,0.387,0.419,0.403,0.391,0.4012,0.403,2.006
2016-12-29,,MinGW_4.8.0,4,release,50000,"Vector<std::pair<int, int>>",0.418,0.427,0.452,0.422,0.426,0.429,0.426,2.145
2016-12-29,,MinGW_4.8.0,4,release,50000,"std::vector<TrivialPair<int, int>>",0.405,0.399,0.394,0.399,0.4,0.3994,0.399,1.997
2016-12-29,,MinGW_4.8.0,4,release,50000,"boost::vector<TrivialPair<int, int>>",0.393,0.398,0.437,0.391,0.394,0.4026,0.394,2.013
2016-12-29,,MinGW_4.8.0,4,release,50000,"Vector<TrivialPair<int, int>>",0.427,0.428,0.396,0.393,0.404,0.4096,0.404,2.048
2016-12-29,,MSVC_2010,4,release,50000,std::vector<int>,0.917,0.911,0.916,0.911,0.917,0.9144,0.916,4.572
2016-12-29,,MSVC_2010,4,release,50000,boost::vector<int>,0.198,0.199,0.198,0.202,0.197,0.1988,0.198,0.994
2016-12-29,,MSVC_2010,4,release,50000,Vector<int>,0.196,0.199,0.195,0.193,0.199,0.1964,0.196,0.982
2016-12-29,,MSVC_2010,4,release,50000,std::vector<double>,1.324,1.295,1.3,1.307,1.294,1.304,1.3,6.52
